date,贵州茅台,五粮液,洋河股份,泸州老窖,山西汾酒
2021-01-04,1834.35,281.42,230.25,224.57,254.79
2021-01-05,1896.8,303.35,246.97,242.02,263.37
2021-01-06,1937.35,311.67,239.87,246.02,270.05
2021-01-07,1977.35,313.37,239.27,248.72,290.54
2021-01-08,1927.35,300.37,225.74,239.19,282.19
2021-01-11,1937.08,284.57,211.51,230.62,265.62
2021-01-12,1998.25,293.37,212.69,246.02,272.74
2021-01-13,2001.35,288.7,198.97,249.92,271.48
2021-01-14,1971.35,272.77,194.27,241.7,265.91
2021-01-15,1919.35,271.07,190.77,227.22,253.34
2021-01-18,1900.35,267.92,183.45,215.73,254.69
2021-01-19,1846.76,264.87,173.88,213.59,243.62
2021-01-20,1877.98,268.22,174.07,212.72,245.76
2021-01-21,1907.35,280.32,177.41,222.51,257.91
2021-01-22,1917.3,278.93,176.1,222.81,255.45
2021-01-25,2012.35,299.06,195.38,246.72,267.26
2021-01-26,1979.24,289.15,202.27,247.01,250.41
2021-01-27,1926.35,275.95,189.14,237.72,247.19
2021-01-28,1925.35,269.37,185.73,233.72,243.62
2021-01-29,1953.53,274.51,187.28,241.42,255.35
2021-02-01,1946.67,275.66,184.93,238.97,257.34
2021-02-02,1982.35,287.49,192.26,262.9,275.76
2021-02-03,2027.26,292.12,187.27,262.72,276.51
2021-02-04,2158.2,296.97,185.97,262.78,267.59
2021-02-05,2150.35,303.13,193.99,271.51,270.76
2021-02-08,2206.15,303.37,201.17,274.22,270.05
2021-02-09,2293.78,312.87,203.32,281.82,275.92
2021-02-10,2438.35,326.02,212.08,297.71,304.72
2021-02-18,2308.35,316.87,201.31,276.12,313.62
2021-02-19,2297.35,327.77,199.67,281.73,290.63
2021-02-22,2125.37,296.43,181.15,255.09,260.36
2021-02-23,2144.35,298.37,183.28,258.18,253.62
2021-02-24,2026.35,276.45,181.77,230.73,235.44
2021-02-25,1987.35,272.27,181.82,226.89,228.62
2021-02-26,1960.13,263.37,172.27,218.93,211.55
2021-03-01,1995.35,272.39,170.46,222.07,209.71
2021-03-02,1895.35,264.07,164.75,210.71,208.49
2021-03-03,1977.35,268.67,169.77,215.73,213.99
2021-03-04,1870.35,249.68,162.92,198.22,203.42
2021-03-05,1897.46,249.87,163.18,201.08,209.89
2021-03-08,1797.35,227.87,149.97,179.34,187.69
2021-03-09,1774.34,225.87,144.1,170.93,172.12
2021-03-10,1807.36,235.97,147.47,179.61,190.54
2021-03-11,1885.35,248.41,150.16,190.74,202.9
2021-03-12,1863.35,247.82,148.85,194.41,211.34
2021-03-15,1812.8,234.38,141.14,179.72,191.95
2021-03-16,1847.85,245.78,146.17,184.71,203.64
2021-03-17,1867.71,247.68,144.93,193.77,207.09
2021-03-18,1907.05,253.76,150.42,202.72,217.99
2021-03-19,1847.35,244.16,142.98,198.23,211.48
2021-03-22,1827.34,242.87,143.87,199.91,213.48
2021-03-23,1833.35,245.62,143.93,203.62,212.84
2021-03-24,1826.35,244.17,141.02,198.61,215.05
2021-03-25,1808.35,239.35,143.27,194.42,215.62
2021-03-26,1850.35,249.32,146.46,208.63,227.59
2021-03-29,1871.45,255.46,148.16,208.2,232.47
2021-03-30,1893.4,256.83,149.27,212.62,232.44
2021-03-31,1846.35,251.35,147.97,208.74,225.62
2021-04-01,1881.85,256.45,154.9,216.36,232.82
2021-04-02,1999.35,267.93,157.37,231.62,250.97
2021-04-06,1963.38,268.13,149.68,227.62,250.84
2021-04-07,1898.35,254.22,142.43,212.72,235.09
2021-04-08,1907.35,256.45,143.27,216.92,248.62
2021-04-09,1857.35,248.67,139.19,207.59,236.48
2021-04-12,1846.24,244.36,136.83,209.22,238.41
2021-04-13,1858.35,246.27,134.27,217.62,235.05
2021-04-14,1884.35,247.15,136.28,217.46,240.06
2021-04-15,1852.95,239.17,133.73,215.39,239.33
2021-04-16,1892.33,245.17,142.97,220.43,238.62
2021-04-19,1925.35,249.04,144.46,222.86,241.14
2021-04-20,1932.15,251.12,146.27,223.26,244.44
2021-04-21,1917.35,254.22,148.85,228.32,260.94
2021-04-22,1892.85,254.56,152.16,224.1,265.05
2021-04-23,1946.29,263.37,154.82,233.33,266.83
2021-04-26,1915.17,258.37,152.78,231.17,267.54
2021-04-27,1931.79,265.19,154.49,234.72,278.11
2021-04-28,1879.35,268.97,157.27,244.72,294.37
2021-04-29,1863.71,272.87,174.67,246.7,285.05
2021-04-30,1844.13,268.37,175.77,239.3,280.94
2021-05-06,1796.35,259.81,166.57,223.6,278.16
2021-05-07,1740.35,255.47,169.37,221.12,274.49
2021-05-10,1716.38,247.37,168.87,209.75,270.76
2021-05-11,1796.35,258.82,170.27,220.59,279.19
2021-05-12,1821.35,260.88,166.75,227.02,291.12
2021-05-13,1808.85,259.37,169.06,226.83,291.52
2021-05-14,1847.2,270.37,168.99,231.52,298.38
2021-05-17,1895.31,280.56,171.71,241.53,304.53
2021-05-18,1896.66,282.87,169.27,241.62,305.76
2021-05-19,1886.35,286.16,164.27,241.75,301.24
2021-05-20,1896.23,286.88,169.78,243.22,311.26
2021-05-21,1879.45,279.97,180.38,241.22,307.91
2021-05-24,1908.64,288.38,189.67,248.49,307.35
2021-05-25,2031.85,306.4,195.27,267.77,315.51
2021-05-26,2057.35,302.37,194.91,259.61,308.62
2021-05-27,2082.35,301.55,201.85,259.52,304.69
2021-05-28,2067.35,300.27,201.39,258.21,311.05
2021-05-31,2055.35,298.49,201.07,258.67,318.53
2021-06-01,2078.3,299.07,216.82,261.43,316.46
2021-06-02,2059.35,295.21,206.14,258.52,312.55
2021-06-03,2059.57,296.98,208.59,260.71,324.91
2021-06-04,2088.85,298.67,213.22,263.32,330.19
2021-06-07,2108.35,296.28,215.33,266.94,344.26
2021-06-08,2028.35,281.32,202.07,245.74,318.16
2021-06-09,2036.85,279.87,211.37,245.92,320.76
2021-06-10,2075.83,286.42,218.02,250.43,335.99
2021-06-11,2016.16,284.94,194.55,241.97,323.8
2021-06-15,2030.35,282.63,187.27,233.58,335.05
2021-06-16,1995.35,275.69,187.27,226.3,331.46
2021-06-17,1994.26,277.59,188.03,226.17,343.06
2021-06-18,1928.29,274.37,183.11,216.52,337.24
2021-06-21,1918.99,280.24,178.87,220.22,324.55
2021-06-22,1912.32,283.26,182.57,215.74,326.48
2021-06-23,1875.35,274.31,178.09,209.7,297.94
2021-06-24,1905.4,276.07,186.34,214.72,304.76
2021-06-25,1948.64,283.29,196.39,218.65,306.99
2021-06-28,1959.65,289.68,199.27,219.22,306.56
2021-06-29,1918.64,281.92,189.77,211.87,308.41
2021-06-30,1913.34,281.26,190.47,219.66,307.91
2021-07-01,1961.64,281.57,189.5,219.72,317.91
2021-07-02,1869.64,269.4,184.74,210.32,297.82
2021-07-05,1850.64,264.47,183.61,206.72,316.81
2021-07-06,1869.54,260.62,190.31,209.23,309.05
2021-07-07,1860.64,267.96,185.66,211.37,316.04
2021-07-08,1841.64,253.21,181.45,204.42,327.05
2021-07-09,1828.75,253.23,171.37,200.23,304.75
2021-07-12,1817.64,256.9,178.27,207.52,299.05
2021-07-13,1839.54,261.95,180.07,208.08,329.25
2021-07-14,1818.64,261.25,180.27,209.34,343.58
2021-07-15,1854.63,266.78,182.12,211.83,362.2
2021-07-16,1812.54,263.47,192.68,205.92,358.16
2021-07-19,1831.64,266.84,192.81,212.2,361.85
2021-07-20,1836.64,268.25,192.37,209.76,359.55
2021-07-21,1825.64,267.17,192.17,206.44,355.95
2021-07-22,1796.65,266.05,186.95,200.27,347.73
2021-07-23,1756.64,257.16,182.95,200.22,342.82
2021-07-26,1660.75,235.49,168.76,183.4,308.05
